swanlab: \ Creating experiment...                                                                                                    swanlab: Tracking run with swanlab version 0.4.9
swanlab: Run data will be saved locally in D:\python-mangshe\pythonProject1\李宏毅机器学习\Hw1\swanlog\run-20250310_201326-4a62e939
swanlab: 👋 Hi lizhongzheng, welcome to swanlab!
swanlab: Syncing run covid_model_train to the cloud
swanlab: 🌟 Run `swanlab watch D:\python-mangshe\pythonProject1\李宏毅机器学习\Hw1\swanlog` to view SwanLab Experiment Dashboard locally
swanlab: 🏠 View project at https://swanlab.cn/@lizhongzheng/Hw1
swanlab: 🚀 View run at https://swanlab.cn/@lizhongzheng/Hw1/runs/6wzbiqvuy73k11ynohdfc
train_data size: (2408, 89) valid_data size: (601, 89) test_data size: (997, 88)
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]
number of features: 88
I will create the new file,and I am deleting the old file!

Epoch[1/3000]:Train loss:16.8054,val loss:16.5270

Saving  model with loss16.527
Epoch[2/3000]:Train loss:16.8143,val loss:17.6053

Epoch[3/3000]:Train loss:16.7851,val loss:16.8424

Epoch[4/3000]:Train loss:16.8308,val loss:16.9035

Epoch[5/3000]:Train loss:16.8181,val loss:17.3194

Epoch[6/3000]:Train loss:16.8343,val loss:16.1596

Saving  model with loss16.160
Epoch[7/3000]:Train loss:16.8252,val loss:16.5400

Epoch[8/3000]:Train loss:16.8079,val loss:16.8290

Epoch[9/3000]:Train loss:16.8011,val loss:17.0673

Epoch[10/3000]:Train loss:16.7927,val loss:17.3658

Epoch[11/3000]:Train loss:16.8129,val loss:16.5466

Epoch[12/3000]:Train loss:16.8323,val loss:17.7170

Epoch[13/3000]:Train loss:16.8182,val loss:16.6891

Epoch[14/3000]:Train loss:16.8044,val loss:16.3684

Epoch[15/3000]:Train loss:16.7550,val loss:16.8789

Epoch[16/3000]:Train loss:16.8274,val loss:16.5700

Epoch[17/3000]:Train loss:16.7934,val loss:16.4876

Epoch[18/3000]:Train loss:16.8214,val loss:16.6449

Epoch[19/3000]:Train loss:16.7349,val loss:17.4272

Epoch[20/3000]:Train loss:16.7118,val loss:18.1325

Epoch[21/3000]:Train loss:16.8053,val loss:16.5049

Epoch[22/3000]:Train loss:16.7815,val loss:17.6901

Epoch[23/3000]:Train loss:16.8393,val loss:16.4135

Epoch[24/3000]:Train loss:16.7714,val loss:16.3702

Epoch[25/3000]:Train loss:16.7465,val loss:16.2690

Epoch[26/3000]:Train loss:16.7524,val loss:16.8492

Epoch[27/3000]:Train loss:16.7877,val loss:16.8074

Epoch[28/3000]:Train loss:16.7907,val loss:17.3917

Epoch[29/3000]:Train loss:16.8094,val loss:17.0626

Epoch[30/3000]:Train loss:16.8006,val loss:17.0160

Epoch[31/3000]:Train loss:16.7661,val loss:16.8714

Epoch[32/3000]:Train loss:16.7828,val loss:17.6105

Epoch[33/3000]:Train loss:16.8024,val loss:17.1706

Epoch[34/3000]:Train loss:16.7610,val loss:16.6494

Epoch[35/3000]:Train loss:16.8144,val loss:16.8551

Epoch[36/3000]:Train loss:16.7950,val loss:16.5565

Epoch[37/3000]:Train loss:16.8469,val loss:16.5214

Epoch[38/3000]:Train loss:16.7743,val loss:16.4263

Epoch[39/3000]:Train loss:16.8208,val loss:17.2173

Epoch[40/3000]:Train loss:16.7418,val loss:17.2005

Epoch[41/3000]:Train loss:16.7774,val loss:16.8841

Epoch[42/3000]:Train loss:16.7857,val loss:16.1782

Epoch[43/3000]:Train loss:16.7800,val loss:17.3403

Epoch[44/3000]:Train loss:16.7023,val loss:16.7040

Epoch[45/3000]:Train loss:16.7951,val loss:17.1054

Epoch[46/3000]:Train loss:16.7656,val loss:16.6420

Epoch[47/3000]:Train loss:16.7905,val loss:17.0533

Epoch[48/3000]:Train loss:16.7810,val loss:16.7231

Epoch[49/3000]:Train loss:16.8415,val loss:16.5842

Epoch[50/3000]:Train loss:16.7577,val loss:16.8846

Epoch[51/3000]:Train loss:16.7629,val loss:16.5377

Epoch[52/3000]:Train loss:16.8236,val loss:16.6183

Epoch[53/3000]:Train loss:16.7542,val loss:16.4363

Epoch[54/3000]:Train loss:16.7586,val loss:16.0487

Saving  model with loss16.049
Epoch[55/3000]:Train loss:16.7380,val loss:16.7232

Epoch[56/3000]:Train loss:16.8152,val loss:16.7654

Epoch[57/3000]:Train loss:16.7869,val loss:17.3719

Epoch[58/3000]:Train loss:16.7751,val loss:16.6613

Epoch[59/3000]:Train loss:16.8019,val loss:16.5268

Epoch[60/3000]:Train loss:16.7509,val loss:16.7290

Epoch[61/3000]:Train loss:16.7526,val loss:16.8024

Epoch[62/3000]:Train loss:16.7773,val loss:16.2587

Epoch[63/3000]:Train loss:16.7803,val loss:16.5067

Epoch[64/3000]:Train loss:16.8140,val loss:16.5828

Epoch[65/3000]:Train loss:16.7976,val loss:17.0755

Epoch[66/3000]:Train loss:16.7840,val loss:17.2823

