swanlab: \ Creating experiment...                                                                                                    swanlab: Tracking run with swanlab version 0.4.9
swanlab: Run data will be saved locally in D:\python-mangshe\pythonProject1\李宏毅机器学习\Hw1\swanlog\run-20250311_095007-026540ee
swanlab: 👋 Hi lizhongzheng, welcome to swanlab!
swanlab: Syncing run covid_model_train to the cloud
swanlab: 🌟 Run `swanlab watch D:\python-mangshe\pythonProject1\李宏毅机器学习\Hw1\swanlog` to view SwanLab Experiment Dashboard locally
swanlab: 🏠 View project at https://swanlab.cn/@lizhongzheng/Hw1
swanlab: 🚀 View run at https://swanlab.cn/@lizhongzheng/Hw1/runs/wntho1y7fowf0ua9460m6
train_data size: (2408, 89) valid_data size: (601, 89) test_data size: (997, 88)
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]
number of features: 88
I will create the new file,and I am deleting the old file!

Epoch[1/7000]:Train loss:16.8165,val loss:16.6559

Saving  model with loss16.656
Epoch[2/7000]:Train loss:16.7485,val loss:17.2227

Epoch[3/7000]:Train loss:16.8322,val loss:16.8205

Epoch[4/7000]:Train loss:16.8689,val loss:16.8519

Epoch[5/7000]:Train loss:16.8084,val loss:17.0701

Epoch[6/7000]:Train loss:16.8175,val loss:16.4589

Saving  model with loss16.459
Epoch[7/7000]:Train loss:16.7426,val loss:16.6585

Epoch[8/7000]:Train loss:16.8434,val loss:16.8100

Epoch[9/7000]:Train loss:16.7033,val loss:16.9347

Epoch[10/7000]:Train loss:16.7215,val loss:17.0912

Epoch[11/7000]:Train loss:16.7367,val loss:16.6594

Epoch[12/7000]:Train loss:16.7648,val loss:17.2748

Epoch[13/7000]:Train loss:16.7858,val loss:16.7330

Epoch[14/7000]:Train loss:16.8519,val loss:16.5636

Epoch[15/7000]:Train loss:16.7496,val loss:16.8316

Epoch[16/7000]:Train loss:16.7977,val loss:16.6683

Epoch[17/7000]:Train loss:16.7555,val loss:16.6241

Epoch[18/7000]:Train loss:16.8158,val loss:16.7062

Epoch[19/7000]:Train loss:16.8195,val loss:17.1171

Epoch[20/7000]:Train loss:16.7005,val loss:17.4875

Epoch[21/7000]:Train loss:16.8345,val loss:16.6300

Epoch[22/7000]:Train loss:16.7641,val loss:17.2528

